entity_id,name_key,description_key,image_file,wikipedia_title,grokipedia_url,britannica_url,linked_country_code
us.james,entity.us.james.name,entity.us.james.description,,,,
us.usaid,entity.us.usaid.name,entity.us.usaid.description,,United_States_Agency_for_International_Development,https://grokipedia.com/page/United_States_Agency_for_International_Development,https://www.britannica.com/topic/US-Agency-for-International-Development,
us.aipac,entity.us.aipac.name,entity.us.aipac.description,us.aipac.png,American_Israel_Public_Affairs_Committee,https://grokipedia.com/page/AIPAC,https://www.britannica.com/topic/American-Israel-Public-Affairs-Committee,
us.dream_act,entity.us.dream_act.name,entity.us.dream_act.description,,DREAM_Act,https://grokipedia.com/page/DREAM_Act,https://www.britannica.com/topic/DREAM-Act,
us.hud,entity.us.hud.name,entity.us.hud.description,us.hud.png,United_States_Department_of_Housing_and_Urban_Development,https://grokipedia.com/page/United_States_Department_of_Housing_and_Urban_Development,https://www.britannica.com/topic/US-Department-of-Housing-and-Urban-Development,
us.snap,entity.us.snap.name,entity.us.snap.description,us.snap.png,Supplemental_Nutrition_Assistance_Program,https://grokipedia.com/page/Supplemental_Nutrition_Assistance_Program,https://www.britannica.com/topic/Supplemental-Nutrition-Assistance-Program-US,
us.social_security,entity.us.social_security.name,entity.us.social_security.description,us.social_security.png,Social_Security_(United_States),https://grokipedia.com/page/Social_Security_(United_States),https://www.britannica.com/topic/Social-Security-United-States-social-insurance-system,
us.medicare,entity.us.medicare.name,entity.us.medicare.description,us.medicare.png,Medicare_(United_States),https://grokipedia.com/page/Medicare_(United_States),https://www.britannica.com/topic/Medicare-United-States-health-insurance,
us.jose,entity.us.jose.name,entity.us.jose.description,,,,
us.tysheeqa,entity.us.tysheeqa.name,entity.us.tysheeqa.description,,,,
us.phil_deborah,entity.us.phil_deborah.name,entity.us.phil_deborah.description,,,,
il,entity.il.name,entity.il.description,,Israel,https://grokipedia.com/page/Israel,https://www.britannica.com/place/Israel,IL
mx,entity.mx.name,entity.mx.description,,Mexico,https://grokipedia.com/page/Mexico,https://www.britannica.com/place/Mexico,MX
us.latin_america,entity.us.latin_america.name,entity.us.latin_america.description,,Latin_America,https://grokipedia.com/page/Latin_America,https://www.britannica.com/place/Latin-America,
ao.pedro,entity.ao.pedro.name,entity.ao.pedro.description,,,,
ao.sonangol,entity.ao.sonangol.name,entity.ao.sonangol.description,,Sonangol,https://grokipedia.com/page/Sonangol_Group,https://www.britannica.com/place/Angola/Economy,
ao.black_tax,entity.ao.black_tax.name,entity.ao.black_tax.description,,Black_tax,https://grokipedia.com/page/Black_tax,https://www.britannica.com/dictionary/remittance,
ao.agt,entity.ao.agt.name,entity.ao.agt.description,,,,
ao.government,entity.ao.government.name,entity.ao.government.description,,Politics_of_Angola,https://grokipedia.com/page/Politics_of_Angola,https://www.britannica.com/place/Angola/Government-and-society,
ao.kwenda,entity.ao.kwenda.name,entity.ao.kwenda.description,,,,
ao.gunza,entity.ao.gunza.name,entity.ao.gunza.description,,,,
ao.family,entity.ao.family.name,entity.ao.family.description,,,,
ao.jlo,entity.ao.jlo.name,entity.ao.jlo.description,,João_Lourenço,https://grokipedia.com/page/João_Lourenço,https://www.britannica.com/biography/Joao-Lourenco,
ao.acj,entity.ao.acj.name,entity.ao.acj.description,,Adalberto_Costa_Júnior,https://grokipedia.com/page/Adalberto_Costa_Júnior,,
ao.turma_caop,entity.ao.turma_caop.name,entity.ao.turma_caop.description,,Kuduro,https://grokipedia.com/page/Kuduro,,
ao.moxico,entity.ao.moxico.name,entity.ao.moxico.description,,Moxico_Province,https://grokipedia.com/page/Moxico_Province,https://www.britannica.com/biography/Jonas-Savimbi,
ao.anelka,entity.ao.anelka.name,entity.ao.anelka.description,,,,
ar.juan,entity.ar.juan.name,entity.ar.juan.description,,,,
ar.progresar,entity.ar.progresar.name,entity.ar.progresar.description,,,,
ar.anses,entity.ar.anses.name,entity.ar.anses.description,,ANSES,https://grokipedia.com/page/ANSES,,
ar.insaurralde,entity.ar.insaurralde.name,entity.ar.insaurralde.description,,Martín_Insaurralde,https://grokipedia.com/page/Martín_Insaurralde,,
ar.rolex_scandal,entity.ar.rolex_scandal.name,entity.ar.rolex_scandal.description,,Rolex,https://grokipedia.com/page/Rolex,https://www.britannica.com/topic/Rolex,
ar.bryan,entity.ar.bryan.name,entity.ar.bryan.description,,,,
ar.roulette,entity.ar.roulette.name,entity.ar.roulette.description,,Roulette,https://grokipedia.com/page/Roulette,https://www.britannica.com/topic/roulette
ar.carlos,entity.ar.carlos.name,entity.ar.carlos.description,,,,
ar.bingo,entity.ar.bingo.name,entity.ar.bingo.description,,Bingo_(card_game),,
ar.barrio_kids,entity.ar.barrio_kids.name,entity.ar.barrio_kids.description,,,,
ar.soccer,entity.ar.soccer.name,entity.ar.soccer.description,,Association_football,https://grokipedia.com/page/Association_football,https://www.britannica.com/sports/football-soccer,
au.nick,entity.au.nick.name,entity.au.nick.description,,,,
au.australian_aid,entity.au.australian_aid.name,entity.au.australian_aid.description,,Australian_Aid,https://grokipedia.com/page/Australian_Aid,,
au.adf,entity.au.adf.name,entity.au.adf.description,,Australian_Defence_Force,https://grokipedia.com/page/Australian_Defence_Force,,
au.department_education,entity.au.department_education.name,entity.au.department_education.description,,Department_of_Education_(Australia),,,
au.centrelink,entity.au.centrelink.name,entity.au.centrelink.description,,Centrelink,https://grokipedia.com/page/Centrelink,,
au.closing_the_gap,entity.au.closing_the_gap.name,entity.au.closing_the_gap.description,,Closing_the_Gap,https://grokipedia.com/page/Closing_the_Gap,,
au.childcare_subsidy,entity.au.childcare_subsidy.name,entity.au.childcare_subsidy.description,,,,
au.medicare,entity.au.medicare.name,entity.au.medicare.description,,Medicare_(Australia),https://grokipedia.com/page/Medicare_(Australia),,
au.ndis,entity.au.ndis.name,entity.au.ndis.description,,National_Disability_Insurance_Scheme,https://grokipedia.com/page/National_Disability_Insurance_Scheme,,
au.png,entity.au.png.name,entity.au.png.description,,Papua_New_Guinea,https://grokipedia.com/page/Papua_New_Guinea,https://www.britannica.com/place/Papua-New-Guinea,
au.solomon_islands,entity.au.solomon_islands.name,entity.au.solomon_islands.description,,Solomon_Islands,https://grokipedia.com/page/Solomon_Islands,https://www.britannica.com/place/Solomon-Islands,
au.kareem,entity.au.kareem.name,entity.au.kareem.description,,,,
au.selective_schools,entity.au.selective_schools.name,entity.au.selective_schools.description,,Selective_school,,,
au.simon_linda,entity.au.simon_linda.name,entity.au.simon_linda.description,,,,
au.house_prices,entity.au.house_prices.name,entity.au.house_prices.description,,Australian_property_market,,,
at.franz,entity.at.franz.name,entity.at.franz.description,,,,
at.ada,entity.at.ada.name,entity.at.ada.description,,Austrian_Development_Agency,,,
at.spo,entity.at.spo.name,entity.at.spo.description,,Social_Democratic_Party_of_Austria,https://grokipedia.com/page/Social_Democratic_Party_of_Austria,https://www.britannica.com/topic/Social-Democratic-Party-of-Austria,
at.gruenen,entity.at.gruenen.name,entity.at.gruenen.description,,The_Greens_(Austria),,,
at.ovp,entity.at.ovp.name,entity.at.ovp.description,,Austrian_People's_Party,https://grokipedia.com/page/Austrian_People's_Party,https://www.britannica.com/topic/Austrian-Peoples-Party,
at.wiener_wohnen,entity.at.wiener_wohnen.name,entity.at.wiener_wohnen.description,,Gemeindebau,https://grokipedia.com/page/Gemeindebau,,
at.wko_pensionskassen,entity.at.wko_pensionskassen.name,entity.at.wko_pensionskassen.description,,Austrian_Federal_Economic_Chamber,,,
at.wien_kultur,entity.at.wien_kultur.name,entity.at.wien_kultur.description,,Vienna,https://grokipedia.com/page/Vienna,https://www.britannica.com/place/Vienna,
at.vienna_pride,entity.at.vienna_pride.name,entity.at.vienna_pride.description,,Vienna_Pride,,,
at.abdul,entity.at.abdul.name,entity.at.abdul.description,,,,
at.reumannplatz,entity.at.reumannplatz.name,entity.at.reumannplatz.description,,Reumannplatz,,,
at.mareike,entity.at.mareike.name,entity.at.mareike.description,,,,
at.josef_marianne,entity.at.josef_marianne.name,entity.at.josef_marianne.description,,,,
at.aid_recipients,entity.at.aid_recipients.name,entity.at.aid_recipients.description,,Official_development_assistance,,,
at.migration,entity.at.migration.name,entity.at.migration.description,,Immigration_to_Austria,,,
at.crime,entity.at.crime.name,entity.at.crime.description,,Crime_in_Austria,,,
at.electricity_prices,entity.at.electricity_prices.name,entity.at.electricity_prices.description,,Electricity_sector_in_Austria,,,
at.child_prostitution,entity.at.child_prostitution.name,entity.at.child_prostitution.description,,Child_prostitution,,,
br.pedro,entity.br.pedro.name,entity.br.pedro.description,,,,
br.federal_government,entity.br.federal_government.name,entity.br.federal_government.description,,Federal_government_of_Brazil,https://grokipedia.com/page/Federal_government_of_Brazil,https://www.britannica.com/place/Brazil,
br.receita_federal,entity.br.receita_federal.name,entity.br.receita_federal.description,,,,
br.mdhc,entity.br.mdhc.name,entity.br.mdhc.description,,Ministry_of_Human_Rights_and_Citizenship,,,
br.previdencia,entity.br.previdencia.name,entity.br.previdencia.description,,Instituto_Nacional_do_Seguro_Social,,,
br.funai,entity.br.funai.name,entity.br.funai.description,,FUNAI,,,
br.bolsa_familia,entity.br.bolsa_familia.name,entity.br.bolsa_familia.description,,Bolsa_Família,https://grokipedia.com/page/Bolsa_Família,https://www.britannica.com/topic/Bolsa-Familia,
br.pe_de_meia,entity.br.pe_de_meia.name,entity.br.pe_de_meia.description,,,,
br.armando,entity.br.armando.name,entity.br.armando.description,,,,
br.latrocinio,entity.br.latrocinio.name,entity.br.latrocinio.description,,,,
br.iniguasu,entity.br.iniguasu.name,entity.br.iniguasu.description,,,,
br.neide_deividsson,entity.br.neide_deividsson.name,entity.br.neide_deividsson.description,,,,
br.nestor,entity.br.nestor.name,entity.br.nestor.description,,,,
br.favela,entity.br.favela.name,entity.br.favela.description,,Favela,https://grokipedia.com/page/Favela,,
br.rolex,entity.br.rolex.name,entity.br.rolex.description,,Rolex,https://grokipedia.com/page/Rolex,https://www.britannica.com/topic/Rolex,
br.sex_work,entity.br.sex_work.name,entity.br.sex_work.description,,Prostitution,https://grokipedia.com/page/Prostitution,,
br.drugs,entity.br.drugs.name,entity.br.drugs.description,,Illegal_drug_trade,https://grokipedia.com/page/Illegal_drug_trade,,
br.toyota,entity.br.toyota.name,entity.br.toyota.description,,Toyota,https://grokipedia.com/page/Toyota,,
br.jbl,entity.br.jbl.name,entity.br.jbl.description,,,,
br.fortune_tiger,entity.br.fortune_tiger.name,entity.br.fortune_tiger.description,,Online_gambling,https://grokipedia.com/page/Online_gambling,,
br.jogo_do_bicho,entity.br.jogo_do_bicho.name,entity.br.jogo_do_bicho.description,,Jogo_do_bicho,https://grokipedia.com/page/Jogo_do_bicho,,
br.pitu,entity.br.pitu.name,entity.br.pitu.description,,Cachaça,https://grokipedia.com/page/Cachaça,,
br.soccer,entity.br.soccer.name,entity.br.soccer.description,,Association_football,https://grokipedia.com/page/Association_football,https://www.britannica.com/sports/football-soccer,
bg.georgi,entity.bg.georgi.name,entity.bg.georgi.description,,,,
bg.nssi,entity.bg.nssi.name,entity.bg.nssi.description,,,,
bg.labour,entity.bg.labour.name,entity.bg.labour.description,,,,
bg.regional,entity.bg.regional.name,entity.bg.regional.description,,,,
bg.interior,entity.bg.interior.name,entity.bg.interior.description,,Ministry_of_Interior_(Bulgaria),,,
bg.health,entity.bg.health.name,entity.bg.health.description,,,,
bg.ginka,entity.bg.ginka.name,entity.bg.ginka.description,,,,
bg.phone_scams,entity.bg.phone_scams.name,entity.bg.phone_scams.description,,Advance-fee_scam,https://grokipedia.com/page/Advance-fee_scam,,
bg.radka,entity.bg.radka.name,entity.bg.radka.description,,,,
bg.potholes,entity.bg.potholes.name,entity.bg.potholes.description,,Roads_in_Bulgaria,,,
bg.corrupt_police,entity.bg.corrupt_police.name,entity.bg.corrupt_police.description,,Police_of_Bulgaria,https://grokipedia.com/page/Corruption_in_Bulgaria,,
bg.hospital,entity.bg.hospital.name,entity.bg.hospital.description,,Healthcare_in_Bulgaria,,,
bg.doctor,entity.bg.doctor.name,entity.bg.doctor.description,,,,
bg.unknown,entity.bg.unknown.name,entity.bg.unknown.description,,,,
bg.excess,entity.bg.excess.name,entity.bg.excess.description,,Corruption_in_Bulgaria,https://grokipedia.com/page/Corruption_in_Bulgaria,,
kh.chea,entity.kh.chea.name,entity.kh.chea.description,,,,
kh.national_budget,entity.kh.national_budget.name,entity.kh.national_budget.description,,Ministry_of_Economy_and_Finance_(Cambodia),,,
kh.parliament,entity.kh.parliament.name,entity.kh.parliament.description,,National_Assembly_of_Cambodia,,,
kh.village_ministry,entity.kh.village_ministry.name,entity.kh.village_ministry.description,,Ministry_of_Rural_Development_(Cambodia),,,
kh.shopee,entity.kh.shopee.name,entity.kh.shopee.description,,Shopee,,,
kh.temasek,entity.kh.temasek.name,entity.kh.temasek.description,,Temasek_Holdings,,,
kh.tencent,entity.kh.tencent.name,entity.kh.tencent.description,,Tencent,,,
kh.elites,entity.kh.elites.name,entity.kh.elites.description,,Economy_of_Cambodia,,,
kh.luxury,entity.kh.luxury.name,entity.kh.luxury.description,,,,
kh.minimarket,entity.kh.minimarket.name,entity.kh.minimarket.description,,Convenience_store,,,
kh.parking,entity.kh.parking.name,entity.kh.parking.description,,Parking_enforcement_officer,,,
kh.ormas,entity.kh.ormas.name,entity.kh.ormas.description,,,,
kh.sound_truck,entity.kh.sound_truck.name,entity.kh.sound_truck.description,,Sound_system_(DJ),,,
kh.low_hr,entity.kh.low_hr.name,entity.kh.low_hr.description,,,,
kh.rural_roads,entity.kh.rural_roads.name,entity.kh.rural_roads.description,,,,
kh.bupati,entity.kh.bupati.name,entity.kh.bupati.description,,Regency_(Indonesia),,,
kh.smartphone,entity.kh.smartphone.name,entity.kh.smartphone.description,,Mobile_phone,,,
kh.sihanoukville,entity.kh.sihanoukville.name,entity.kh.sihanoukville.description,,Sihanoukville,,,
ca.nick,entity.ca.nick.name,entity.ca.nick.description,,,,
ca.cpp,entity.ca.cpp.name,entity.ca.cpp.description,,CPP_Investment_Board,,,
ca.inac,entity.ca.inac.name,entity.ca.inac.description,,Indigenous_and_Northern_Affairs_Canada,,,
ca.tim_hortons,entity.ca.tim_hortons.name,entity.ca.tim_hortons.description,,Tim_Hortons,,,
ca.food_banks,entity.ca.food_banks.name,entity.ca.food_banks.description,,Food_Banks_Canada,,,
ca.service_canada,entity.ca.service_canada.name,entity.ca.service_canada.description,,Service_Canada,,,
ca.ircc,entity.ca.ircc.name,entity.ca.ircc.description,,Immigration,_Refugees_and_Citizenship_Canada,,,
ca.housing_prices,entity.ca.housing_prices.name,entity.ca.housing_prices.description,,Housing_in_Canada,,,
ca.rent,entity.ca.rent.name,entity.ca.rent.description,,Renting,https://grokipedia.com/page/Renting,,
ca.sold_over_asking,entity.ca.sold_over_asking.name,entity.ca.sold_over_asking.description,,,,
ca.stolen_land,entity.ca.stolen_land.name,entity.ca.stolen_land.description,,,,
ca.gladue,entity.ca.gladue.name,entity.ca.gladue.description,,Gladue_report,https://grokipedia.com/page/Gladue_report,,
ca.church_fires,entity.ca.church_fires.name,entity.ca.church_fires.description,,2021_Canadian_church_fires,,,
ca.workers,entity.ca.workers.name,entity.ca.workers.description,,,,
ca.wise,entity.ca.wise.name,entity.ca.wise.description,,Wise_(company),https://grokipedia.com/page/Wise_(company),,
ca.job_fees,entity.ca.job_fees.name,entity.ca.job_fees.description,,Foreign_worker,,,
ca.sedan,entity.ca.sedan.name,entity.ca.sedan.description,,Hyundai_Elantra,https://grokipedia.com/page/Hyundai_Elantra,,
