country_code,baseline,question_id,answer_id,delta
GB,FR,q01,a,1
GB,FR,q03,a,0
GB,FR,q03,b,1
GB,FR,q04,b,-2
GB,FR,q05,b,2
GB,FR,q05,c,-2
GB,FR,q06,c,1
GB,FR,q08,d,-2
GB,FR,q13,c,-1
GB,FR,q14,c,-1
GB,FR,q15,a,0
DE,FR,q03,c,2
DE,FR,q04,b,-2
DE,FR,q04,d,2
DE,FR,q05,b,2
DE,FR,q05,c,-1
DE,FR,q06,b,1
DE,FR,q08,b,1
DE,FR,q08,d,-1
DE,FR,q09,c,1
DE,FR,q12,a,1
DE,FR,q13,c,-1
US,FR,q01,a,-1
US,FR,q01,b,1
US,FR,q04,b,-3
US,FR,q04,e,1
US,FR,q04,f,-3
US,FR,q05,a,3
US,FR,q05,b,-1
US,FR,q05,c,-2
US,FR,q05,d,-2
US,FR,q06,b,3
US,FR,q08,a,2
US,FR,q08,b,2
US,FR,q08,c,-2
US,FR,q08,d,-3
US,FR,q09,c,-2
US,FR,q09,e,1
US,FR,q10,b,2
US,FR,q11,b,1
US,FR,q11,d,-3
US,FR,q12,a,-2
US,FR,q13,d,2
US,FR,q14,b,-1
US,FR,q14,c,-2
NL,GB,q03,b,2
NL,GB,q04,b,-1
NL,GB,q05,b,2
NL,GB,q05,c,-3
NL,GB,q06,c,-3
NL,GB,q06,d,2
NL,GB,q08,d,-1
NL,GB,q09,e,1
NL,GB,q13,c,-1
CA,FR,q01,a,1
CA,FR,q03,b,1
CA,FR,q03,c,1
CA,FR,q04,b,-2
CA,FR,q05,a,2
CA,FR,q05,b,-1
CA,FR,q05,c,-1
CA,FR,q06,c,-1
CA,FR,q08,d,0
CA,FR,q09,c,1
CA,FR,q10,c,1
CA,FR,q13,c,1
